,dms_id,protein_name,uniprot_id,dms_name,offset,protein_properties,dms_assay,Ascan_id,ascan_assay,dmsa_id,assumed_compatibility,reason,note
256,urn:mavedb:00000003-b-2,BRCA1,P38398,BRCA1_Y2H,1,"It is an E3 ubiquitin ligase and also involves in DNA damage repair, with multiple other functions. The previous two functions are related to its binding with BARD1.",BRCA1 is linked with part of Gal4 and BARD1 is linked with the other part. Functioning BRCA1 binds to BARD1 making active GAL4 and transcript HIS3 that is essential for yeast growth.,brca1_myc,BRCA1 is immunoprecipitated and quantified by western blot according to the tag.,urn:mavedb:00000003-b-2@brca1_myc,Medium,Assays select on different yet specific protein properties.,
254,urn:mavedb:00000003-b-2,BRCA1,P38398,BRCA1_Y2H,1,"It is an E3 ubiquitin ligase and also involves in DNA damage repair, with multiple other functions. The previous two functions are related to its binding with BARD1.",BRCA1 is linked with part of Gal4 and BARD1 is linked with the other part. Functioning BRCA1 binds to BARD1 making active GAL4 and transcript HIS3 that is essential for yeast growth.,brca1_ransburgh_hdr,Functioning BRCA1 can repair broken GFP and scored by GFP intensity. Also known as HDR which is the golden standard.,urn:mavedb:00000003-b-2@brca1_ransburgh_hdr,Medium,Assays select on different yet specific protein properties.,
253,urn:mavedb:00000003-b-2,BRCA1,P38398,BRCA1_Y2H,1,"It is an E3 ubiquitin ligase and also involves in DNA damage repair, with multiple other functions. The previous two functions are related to its binding with BARD1.",BRCA1 is linked with part of Gal4 and BARD1 is linked with the other part. Functioning BRCA1 binds to BARD1 making active GAL4 and transcript HIS3 that is essential for yeast growth.,brca1_starita2015_hdr,Functioning BRCA1 can repair broken GFP and scored by GFP intensity. Also known as HDR which is the golden standard.,urn:mavedb:00000003-b-2@brca1_starita2015_hdr,Medium,Assays select on different yet specific protein properties.,
255,urn:mavedb:00000003-b-2,BRCA1,P38398,BRCA1_Y2H,1,"It is an E3 ubiquitin ligase and also involves in DNA damage repair, with multiple other functions. The previous two functions are related to its binding with BARD1.",BRCA1 is linked with part of Gal4 and BARD1 is linked with the other part. Functioning BRCA1 binds to BARD1 making active GAL4 and transcript HIS3 that is essential for yeast growth.,brca1_twoler_ssa,Functioning BRCA1 can repair broken GFP by merging the two GFP genes making a functional one. Result is scored by GFP intensity. Also known as SSA assay.,urn:mavedb:00000003-b-2@brca1_twoler_ssa,Medium,Assays select on different yet specific protein properties.,
258,urn:mavedb:00000003-b-2,BRCA1,P38398,BRCA1_Y2H,1,"It is an E3 ubiquitin ligase and also involves in DNA damage repair, with multiple other functions. The previous two functions are related to its binding with BARD1.",BRCA1 is linked with part of Gal4 and BARD1 is linked with the other part. Functioning BRCA1 binds to BARD1 making active GAL4 and transcript HIS3 that is essential for yeast growth.,brca1_yeast_growth,Functioning BRCA1 can inhibit yeast cell growth. Scores are calculated as number of cells per yeast colony.,urn:mavedb:00000003-b-2@brca1_yeast_growth,Medium,"One assay measures protein general property, but the other measures a specific one.",
239,urn:mavedb:00000081-a-2,BRCA1,P38398,BRCA1_Starita_2018,0,"It is an E3 ubiquitin ligase and also involves in DNA damage repair, with multiple other functions. The previous two functions are related to its binding with BARD1.",Functioning BRCA1 can repair broken GFP and cells are sorted by FACS according to GFP intensity. Also known as HDR which is the golden standard.,brca1_mono_ub,Functioning BRCA1 will catlyze ubiquitination and scores are measured by mono-ubiquitin amount by western blot.,urn:mavedb:00000081-a-2@brca1_mono_ub,Medium,Assays select on different yet specific protein properties.,
238,urn:mavedb:00000081-a-2,BRCA1,P38398,BRCA1_Starita_2018,0,"It is an E3 ubiquitin ligase and also involves in DNA damage repair, with multiple other functions. The previous two functions are related to its binding with BARD1.",Functioning BRCA1 can repair broken GFP and cells are sorted by FACS according to GFP intensity. Also known as HDR which is the golden standard.,brca1_myc,BRCA1 is immunoprecipitated and quantified by western blot according to the tag.,urn:mavedb:00000081-a-2@brca1_myc,Medium,Assays select on different yet specific protein properties.,
236,urn:mavedb:00000081-a-2,BRCA1,P38398,BRCA1_Starita_2018,0,"It is an E3 ubiquitin ligase and also involves in DNA damage repair, with multiple other functions. The previous two functions are related to its binding with BARD1.",Functioning BRCA1 can repair broken GFP and cells are sorted by FACS according to GFP intensity. Also known as HDR which is the golden standard.,brca1_ransburgh_hdr,Functioning BRCA1 can repair broken GFP and scored by GFP intensity. Also known as HDR which is the golden standard.,urn:mavedb:00000081-a-2@brca1_ransburgh_hdr,High,Assays select on similar specific protein property.,
235,urn:mavedb:00000081-a-2,BRCA1,P38398,BRCA1_Starita_2018,0,"It is an E3 ubiquitin ligase and also involves in DNA damage repair, with multiple other functions. The previous two functions are related to its binding with BARD1.",Functioning BRCA1 can repair broken GFP and cells are sorted by FACS according to GFP intensity. Also known as HDR which is the golden standard.,brca1_starita2015_hdr,Functioning BRCA1 can repair broken GFP and scored by GFP intensity. Also known as HDR which is the golden standard.,urn:mavedb:00000081-a-2@brca1_starita2015_hdr,High,Assays select on similar specific protein property.,
237,urn:mavedb:00000081-a-2,BRCA1,P38398,BRCA1_Starita_2018,0,"It is an E3 ubiquitin ligase and also involves in DNA damage repair, with multiple other functions. The previous two functions are related to its binding with BARD1.",Functioning BRCA1 can repair broken GFP and cells are sorted by FACS according to GFP intensity. Also known as HDR which is the golden standard.,brca1_twoler_ssa,Functioning BRCA1 can repair broken GFP by merging the two GFP genes making a functional one. Result is scored by GFP intensity. Also known as SSA assay.,urn:mavedb:00000081-a-2@brca1_twoler_ssa,High,Assays select on similar specific protein property.,
240,urn:mavedb:00000081-a-2,BRCA1,P38398,BRCA1_Starita_2018,0,"It is an E3 ubiquitin ligase and also involves in DNA damage repair, with multiple other functions. The previous two functions are related to its binding with BARD1.",Functioning BRCA1 can repair broken GFP and cells are sorted by FACS according to GFP intensity. Also known as HDR which is the golden standard.,brca1_yeast_growth,Functioning BRCA1 can inhibit yeast cell growth. Scores are calculated as number of cells per yeast colony.,urn:mavedb:00000081-a-2@brca1_yeast_growth,Medium,"One assay measures protein general property, but the other measures a specific one.",
245,urn:mavedb:00000097-0-1,BRCA1,P38398,BRCA1_Findlay,0,"It is an E3 ubiquitin ligase and also involves in DNA damage repair, with multiple other functions. The previous two functions are related to its binding with BARD1.",BRCA1 repairing function is essential for the survival HAP1 cells.,brca1_mono_ub,Functioning BRCA1 will catlyze ubiquitination and scores are measured by mono-ubiquitin amount by western blot.,urn:mavedb:00000097-0-1@brca1_mono_ub,Medium,"One assay measures protein general property, but the other measures a specific one.",
244,urn:mavedb:00000097-0-1,BRCA1,P38398,BRCA1_Findlay,0,"It is an E3 ubiquitin ligase and also involves in DNA damage repair, with multiple other functions. The previous two functions are related to its binding with BARD1.",BRCA1 repairing function is essential for the survival HAP1 cells.,brca1_myc,BRCA1 is immunoprecipitated and quantified by western blot according to the tag.,urn:mavedb:00000097-0-1@brca1_myc,Medium,"One assay measures protein general property, but the other measures a specific one.",
242,urn:mavedb:00000097-0-1,BRCA1,P38398,BRCA1_Findlay,0,"It is an E3 ubiquitin ligase and also involves in DNA damage repair, with multiple other functions. The previous two functions are related to its binding with BARD1.",BRCA1 repairing function is essential for the survival HAP1 cells.,brca1_ransburgh_hdr,Functioning BRCA1 can repair broken GFP and scored by GFP intensity. Also known as HDR which is the golden standard.,urn:mavedb:00000097-0-1@brca1_ransburgh_hdr,Medium,"One assay measures protein general property, but the other measures a specific one.",
241,urn:mavedb:00000097-0-1,BRCA1,P38398,BRCA1_Findlay,0,"It is an E3 ubiquitin ligase and also involves in DNA damage repair, with multiple other functions. The previous two functions are related to its binding with BARD1.",BRCA1 repairing function is essential for the survival HAP1 cells.,brca1_starita2015_hdr,Functioning BRCA1 can repair broken GFP and scored by GFP intensity. Also known as HDR which is the golden standard.,urn:mavedb:00000097-0-1@brca1_starita2015_hdr,Medium,"One assay measures protein general property, but the other measures a specific one.",
243,urn:mavedb:00000097-0-1,BRCA1,P38398,BRCA1_Findlay,0,"It is an E3 ubiquitin ligase and also involves in DNA damage repair, with multiple other functions. The previous two functions are related to its binding with BARD1.",BRCA1 repairing function is essential for the survival HAP1 cells.,brca1_twoler_ssa,Functioning BRCA1 can repair broken GFP by merging the two GFP genes making a functional one. Result is scored by GFP intensity. Also known as SSA assay.,urn:mavedb:00000097-0-1@brca1_twoler_ssa,Medium,"One assay measures protein general property, but the other measures a specific one.",
246,urn:mavedb:00000097-0-1,BRCA1,P38398,BRCA1_Findlay,0,"It is an E3 ubiquitin ligase and also involves in DNA damage repair, with multiple other functions. The previous two functions are related to its binding with BARD1.",BRCA1 repairing function is essential for the survival HAP1 cells.,brca1_yeast_growth,Functioning BRCA1 can inhibit yeast cell growth. Scores are calculated as number of cells per yeast colony.,urn:mavedb:00000097-0-1@brca1_yeast_growth,High,Assays both select on protein general property.,
283,urn:mavedb:00000001-c-1,CALM1,P0DP23,CALM1,0,CALM1 (CaM) is a multifunctional protein that is activated while binded with calcium ion. It involves in a calcium signal transduction pathway by modifying proteins including kinases or phosphatases.,Functioning CALM1 mutants will rescue CALM1 deficient yeast under high temperature condition.,calm1,The assay measures the acitivity of a phosphodiesterase which is activated when supplemented with functioning CaM.,urn:mavedb:00000001-c-1@calm1,Medium,"One assay measures protein general property, but the other measures a specific one.",
284,urn:mavedb:00000001-c-1,CALM1,P0DP23,CALM1,0,CALM1 (CaM) is a multifunctional protein that is activated while binded with calcium ion. It involves in a calcium signal transduction pathway by modifying proteins including kinases or phosphatases.,Functioning CALM1 mutants will rescue CALM1 deficient yeast under high temperature condition.,calm1_met_rate,The methylation of CaM can affect its regulation of certain enzymes. The assay measure the methylation rate of CaM in the absence of calcium.,urn:mavedb:00000001-c-1@calm1_met_rate,Medium,"One assay measures protein general property, but the other measures a specific one.",
285,urn:mavedb:00000001-c-1,CALM1,P0DP23,CALM1,0,CALM1 (CaM) is a multifunctional protein that is activated while binded with calcium ion. It involves in a calcium signal transduction pathway by modifying proteins including kinases or phosphatases.,Functioning CALM1 mutants will rescue CALM1 deficient yeast under high temperature condition.,calm1_met_rate_ca,The methylation of CaM can affect its regulation of certain enzymes. The assay measure the methylation rate of CaM in the presence of calcium.,urn:mavedb:00000001-c-1@calm1_met_rate_ca,Medium,"One assay measures protein general property, but the other measures a specific one.",
286,urn:mavedb:00000001-c-1,CALM1,P0DP23,CALM1,0,CALM1 (CaM) is a multifunctional protein that is activated while binded with calcium ion. It involves in a calcium signal transduction pathway by modifying proteins including kinases or phosphatases.,Functioning CALM1 mutants will rescue CALM1 deficient yeast under high temperature condition.,calm1_met_rate_cacl2_h6,The methylation of CaM can affect its regulation of certain enzymes. The assay measure the methylation rate of CaM in the presence of calcium for helix 6.,urn:mavedb:00000001-c-1@calm1_met_rate_cacl2_h6,Medium,"One assay measures protein general property, but the other measures a specific one.",
288,urn:mavedb:00000001-c-1,CALM1,P0DP23,CALM1,0,CALM1 (CaM) is a multifunctional protein that is activated while binded with calcium ion. It involves in a calcium signal transduction pathway by modifying proteins including kinases or phosphatases.,Functioning CALM1 mutants will rescue CALM1 deficient yeast under high temperature condition.,calm1_met_rate_cacl2_h7,The methylation of CaM can affect its regulation of certain enzymes. The assay measure the methylation rate of CaM in the presence of calcium for helix 7.,urn:mavedb:00000001-c-1@calm1_met_rate_cacl2_h7,Medium,"One assay measures protein general property, but the other measures a specific one.",
287,urn:mavedb:00000001-c-1,CALM1,P0DP23,CALM1,0,CALM1 (CaM) is a multifunctional protein that is activated while binded with calcium ion. It involves in a calcium signal transduction pathway by modifying proteins including kinases or phosphatases.,Functioning CALM1 mutants will rescue CALM1 deficient yeast under high temperature condition.,calm1_met_rate_egta_h6,The methylation of CaM can affect its regulation of certain enzymes. The assay measure the methylation rate of CaM in the presence of EGTA for helix 6.,urn:mavedb:00000001-c-1@calm1_met_rate_egta_h6,Medium,"One assay measures protein general property, but the other measures a specific one.",
289,urn:mavedb:00000001-c-1,CALM1,P0DP23,CALM1,0,CALM1 (CaM) is a multifunctional protein that is activated while binded with calcium ion. It involves in a calcium signal transduction pathway by modifying proteins including kinases or phosphatases.,Functioning CALM1 mutants will rescue CALM1 deficient yeast under high temperature condition.,calm1_met_rate_egta_h7,The methylation of CaM can affect its regulation of certain enzymes. The assay measure the methylation rate of CaM in the presence of EGTA for helix 7.,urn:mavedb:00000001-c-1@calm1_met_rate_egta_h7,Medium,"One assay measures protein general property, but the other measures a specific one.",
327,urn:mavedb:00000005-a-5,CBS,P35520,CBS_Low-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in low vitamin B condition.,cbs,Functioning CBS is essential for the growth of yeast without other cysteine source. Scores are normalized by growth with cysteine supply.,urn:mavedb:00000005-a-5@cbs,High,Assays both select on protein general property.,
297,urn:mavedb:00000005-a-5,CBS,P35520,CBS_Low-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in low vitamin B condition.,cbs_18_met,Functioning CBS catalyze production of cyestine. Low temperature may rescue misfolded CBS. AdoMet is a natural allosteric activator of CBS.,urn:mavedb:00000005-a-5@cbs_18_met,Medium,"One assay measures protein general property, but the other measures a specific one.",
296,urn:mavedb:00000005-a-5,CBS,P35520,CBS_Low-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in low vitamin B condition.,cbs_18_no,Functioning CBS catalyze production of cyestine. Low temperature may rescue misfolded CBS.,urn:mavedb:00000005-a-5@cbs_18_no,Medium,"One assay measures protein general property, but the other measures a specific one.",
295,urn:mavedb:00000005-a-5,CBS,P35520,CBS_Low-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in low vitamin B condition.,cbs_37_hcy,Functioning CBS catalyze production of cyestine. AdoHcy can potentially be used as drugs for LOF CBS.,urn:mavedb:00000005-a-5@cbs_37_hcy,Low,AS assay selects on drug response of the target protein.,Drug-like molecule involved
294,urn:mavedb:00000005-a-5,CBS,P35520,CBS_Low-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in low vitamin B condition.,cbs_37_met,Functioning CBS catalyze production of cyestine. AdoMet is a natural allosteric activator of CBS.,urn:mavedb:00000005-a-5@cbs_37_met,Medium,"One assay measures protein general property, but the other measures a specific one.",
293,urn:mavedb:00000005-a-5,CBS,P35520,CBS_Low-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in low vitamin B condition.,cbs_37_no,Functioning CBS catalyze production of cyestine.,urn:mavedb:00000005-a-5@cbs_37_no,Medium,"One assay measures protein general property, but the other measures a specific one.",
307,urn:mavedb:00000005-a-5,CBS,P35520,CBS_Low-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in low vitamin B condition.,cbs_kopecka_actala0,Functioning CBS catalyze production of cyestine. Experiment is done without precursor of vitamin B.,urn:mavedb:00000005-a-5@cbs_kopecka_actala0,Medium,"One assay measures protein general property, but the other measures a specific one.",
308,urn:mavedb:00000005-a-5,CBS,P35520,CBS_Low-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in low vitamin B condition.,cbs_kopecka_actala5,Functioning CBS catalyze production of cyestine. Experiment is done with precursor of vitamin B.,urn:mavedb:00000005-a-5@cbs_kopecka_actala5,Medium,"One assay measures protein general property, but the other measures a specific one.",
309,urn:mavedb:00000005-a-5,CBS,P35520,CBS_Low-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in low vitamin B condition.,cbs_kopecka_actbeta0,Functioning CBS catalyze production of cyestine. Experiment is done with or without molecules facilitating folding that can potentially be used as drugs.,urn:mavedb:00000005-a-5@cbs_kopecka_actbeta0,Low,AS assay selects on drug response of the target protein.,Drug-like molecule involved
310,urn:mavedb:00000005-a-5,CBS,P35520,CBS_Low-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in low vitamin B condition.,cbs_kopecka_actbeta1,Functioning CBS catalyze production of cyestine. Experiment is done with or without molecules facilitating folding that can potentially be used as drugs.,urn:mavedb:00000005-a-5@cbs_kopecka_actbeta1,Low,AS assay selects on drug response of the target protein.,Drug-like molecule involved
311,urn:mavedb:00000005-a-5,CBS,P35520,CBS_Low-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in low vitamin B condition.,cbs_kopecka_actgly0,Functioning CBS catalyze production of cyestine. Experiment is done with or without molecules facilitating folding that can potentially be used as drugs.,urn:mavedb:00000005-a-5@cbs_kopecka_actgly0,Low,AS assay selects on drug response of the target protein.,Drug-like molecule involved
312,urn:mavedb:00000005-a-5,CBS,P35520,CBS_Low-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in low vitamin B condition.,cbs_kopecka_actgly7,Functioning CBS catalyze production of cyestine. Experiment is done with or without molecules facilitating folding that can potentially be used as drugs.,urn:mavedb:00000005-a-5@cbs_kopecka_actgly7,Low,AS assay selects on drug response of the target protein.,Drug-like molecule involved
313,urn:mavedb:00000005-a-5,CBS,P35520,CBS_Low-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in low vitamin B condition.,cbs_kopecka_acttau0,Functioning CBS catalyze production of cyestine. Experiment is done with or without molecules facilitating folding that can potentially be used as drugs.,urn:mavedb:00000005-a-5@cbs_kopecka_acttau0,Low,AS assay selects on drug response of the target protein.,Drug-like molecule involved
314,urn:mavedb:00000005-a-5,CBS,P35520,CBS_Low-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in low vitamin B condition.,cbs_kopecka_acttau5,Functioning CBS catalyze production of cyestine. Experiment is done with or without molecules facilitating folding that can potentially be used as drugs.,urn:mavedb:00000005-a-5@cbs_kopecka_acttau5,Low,AS assay selects on drug response of the target protein.,Drug-like molecule involved
316,urn:mavedb:00000005-a-5,CBS,P35520,CBS_Low-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in low vitamin B condition.,cbs_kopecka_baralan,Functioning CBS catalyze production of cyestine. Experiment is done without precursor of vitamin B.,urn:mavedb:00000005-a-5@cbs_kopecka_baralan,Medium,"One assay measures protein general property, but the other measures a specific one.",
315,urn:mavedb:00000005-a-5,CBS,P35520,CBS_Low-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in low vitamin B condition.,cbs_kopecka_baralay,Functioning CBS catalyze production of cyestine. Experiment is done with precursor of vitamin B.,urn:mavedb:00000005-a-5@cbs_kopecka_baralay,Medium,"One assay measures protein general property, but the other measures a specific one.",
318,urn:mavedb:00000005-a-5,CBS,P35520,CBS_Low-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in low vitamin B condition.,cbs_kopecka_barbetan,Functioning CBS catalyze production of cyestine. Experiment is done with or without molecules facilitating folding that can potentially be used as drugs.,urn:mavedb:00000005-a-5@cbs_kopecka_barbetan,Low,AS assay selects on drug response of the target protein.,Drug-like molecule involved
